happiness,amplitude,likes_count
0.658,1.0,105
0.925,0.968,34
0.56,0.56,69
0.999,0.999,29
0.9995,1.0,51
1.0,1.0,57
0.02,0.02,82
0.0,0.0,27
0.145,0.145,13
0.827,1.0,126
0.05,0.05,43
0.941,0.941,39
0.001,0.001,57
0.121,0.121,67
0.978,0.978,165
0.0,0.0,428
0.0,0.0,11
0.0,0.001,13
0.0,0.001,16
0.0,0.006,25
0.0,0.0,20
0.006,0.006,95
0.0,0.0,47
0.01,0.01,33
0.0,0.004,0
0.001,0.008,4
0.508,0.508,1
0.0,0.933,16
0.0,0.011,10
0.64,0.64,42
0.35533333333333333,1.0,47
0.001,0.23,68
0.552,0.552,12
